"small_rna","small_rna_class","small_rna_mean","small_rna_fold_change","small_rna_p_value","mrna_target","mrna_class","mrna_mean","mrna_fold_change","mrna_p_value"
"WBGene00008171","CSR",212.118,0.833,0.003,"WBGene00008171","CSR",258.749,-0.193,0.655
"WBGene00008172","unk",459.282,-0.131,0.614,"WBGene00008172","unk",594.11,0.093,0.789
"WBGene00008173","CSR",372.025,0.842,0,"WBGene00008173","CSR",350.677,-0.003,0.996
"WBGene00008174","unk",793.818,1.043,0,"WBGene00008174","unk",1162.476,-0.167,0.438
"WBGene00008176","unk",6.365,1.301,0.43,"WBGene00008176","unk",16.068,-0.587,0.744
"WBGene00008177","WAGO",261.564,-6.943,0,"WBGene00008177","WAGO",137.32,-0.921,0.017
"WBGene00008178","unk",3156.853,-0.426,0.001,"WBGene00008178","unk",153.075,1.003,0.005
"WBGene00008183","CSR",1243.974,0.211,0.198,"WBGene00008183","CSR",1957.789,-0.009,0.974
"WBGene00008191","unk",24.531,0.526,0.562,"WBGene00008191","unk",137.891,-0.122,0.863
"WBGene00008194","unk",103.825,0.815,0.037,"WBGene00008194","unk",2899.557,0.492,0.001
"WBGene00008195","unk",332.992,-2.311,0,"WBGene00008195","unk",137.943,-1.117,0.004
"WBGene00008196","unk",223.467,-1.773,0,"WBGene00008196","unk",1409.003,0.13,0.498
"WBGene00008197","unk",250.545,-1.686,0,"WBGene00008197","unk",1397.237,0.011,0.972
"WBGene00008198","unk",36.306,-1.694,0.023,"WBGene00008198","unk",167.631,-0.196,0.728
"WBGene00008199","unk",16.225,0.83,0.427,"WBGene00008199","unk",345.192,0.543,0.058
"WBGene00008200","unk",7.874,-3.053,0.064,"WBGene00008200","unk",109.778,0.389,0.557
"WBGene00008201","unk",2.563,-0.786,0.785,"WBGene00008201","unk",28.648,3.573,0
"WBGene00008203","unk",5.246,1.133,0.565,"WBGene00008203","unk",6.428,1.529,0.537
"WBGene00008204","unk",28.708,-1.714,0.03,"WBGene00008204","unk",102.041,-1.019,0.023
"WBGene00008205","unk",385.554,1.068,0,"WBGene00008205","unk",3147.037,0.2,0.158
"WBGene00008206","unk",14.044,0.914,0.41,"WBGene00008206","unk",324.459,-0.533,0.047
"WBGene00008207","unk",19.521,0.17,0.878,"WBGene00008207","unk",357.057,-0.482,0.063
"WBGene00008210","CSR",91.306,0.296,0.537,"WBGene00008210","CSR",1945.089,-0.455,0
"WBGene00008212","unk",26.334,0.356,0.688,"WBGene00008212","unk",4.708,-1.11,0.755
"WBGene00008213","unk",7.18,-0.227,0.901,"WBGene00008213","unk",49.895,0.293,0.783
"WBGene00008214","unk",38.095,-0.465,0.519,"WBGene00008214","unk",243.727,0.34,0.368
"WBGene00008215","unk",8.536,-4.743,0.018,"WBGene00008215","unk",56.722,-2.052,0
"WBGene00008216","unk",4.101,0.942,0.666,"WBGene00008216","unk",23.899,0.23,0.895
"WBGene00008218","CSR",452.66,-0.558,0.006,"WBGene00008218","CSR",28641.924,-0.325,0
